Week,eLearning,DataScience,MachineLearning,ArtificialIntelligence,DeepLearning
29/07/2018,17,23,36,20,14
5/08/2018,18,23,37,20,13
12/08/2018,17,22,36,19,12
19/08/2018,19,24,37,18,14
26/08/2018,23,26,38,20,14
2/09/2018,28,27,37,21,14
9/09/2018,34,25,38,22,14
16/09/2018,39,25,40,22,15
23/09/2018,38,25,39,23,15
30/09/2018,44,26,39,21,15
7/10/2018,43,26,39,22,15
14/10/2018,45,26,39,23,15
21/10/2018,42,26,40,24,15
28/10/2018,39,24,39,23,15
4/11/2018,37,24,36,21,15
11/11/2018,41,26,39,25,15
18/11/2018,35,23,37,22,14
25/11/2018,38,26,41,24,15
2/12/2018,38,26,42,24,16
9/12/2018,35,26,40,22,15
16/12/2018,30,23,37,23,13
23/12/2018,19,19,28,17,10
30/12/2018,20,22,31,18,11
6/01/2019,30,29,37,22,14
13/01/2019,31,29,37,24,15
20/01/2019,30,28,39,22,15
27/01/2019,29,28,40,23,15
3/02/2019,29,29,41,23,15
10/02/2019,32,28,40,24,15
17/02/2019,35,30,42,25,15
24/02/2019,38,29,41,23,15
3/03/2019,36,28,42,23,15
10/03/2019,39,27,40,23,15
17/03/2019,41,28,41,23,14
24/03/2019,38,30,41,24,16
31/03/2019,41,29,41,23,15
7/04/2019,38,28,41,23,16
14/04/2019,36,27,37,21,14
21/04/2019,36,27,39,23,15
28/04/2019,36,27,39,24,14
5/05/2019,36,28,41,23,14
12/05/2019,37,29,41,24,15
19/05/2019,35,30,39,22,15
26/05/2019,32,29,38,21,14
2/06/2019,27,29,40,21,14
9/06/2019,27,30,42,22,15
16/06/2019,32,31,41,24,15
23/06/2019,28,30,41,22,15
30/06/2019,32,29,40,21,14
7/07/2019,27,31,40,22,15
14/07/2019,23,31,41,23,15
21/07/2019,22,31,40,22,14
28/07/2019,20,31,39,22,13
4/08/2019,20,30,38,21,14
11/08/2019,19,31,39,21,14
18/08/2019,26,35,43,22,14
25/08/2019,27,37,43,22,14
1/09/2019,33,34,40,22,15
8/09/2019,42,36,44,25,15
15/09/2019,44,37,45,25,15
22/09/2019,45,35,46,26,15
29/09/2019,55,34,43,23,15
6/10/2019,53,34,43,24,15
13/10/2019,55,34,44,24,15
20/10/2019,52,32,42,23,14
27/10/2019,48,31,39,22,14
3/11/2019,49,34,44,25,14
10/11/2019,47,33,43,24,15
17/11/2019,46,34,45,27,15
24/11/2019,42,30,41,24,15
1/12/2019,43,34,43,24,14
8/12/2019,43,32,44,25,15
15/12/2019,38,32,42,22,15
22/12/2019,24,26,33,17,11
29/12/2019,23,29,33,19,12
5/01/2020,38,35,42,25,15
12/01/2020,34,35,42,25,15
19/01/2020,31,36,44,24,14
26/01/2020,30,35,43,24,14
2/02/2020,34,36,44,24,15
9/02/2020,37,38,44,25,16
16/02/2020,43,38,46,26,16
23/02/2020,42,38,46,26,16
1/03/2020,48,37,44,25,15
8/03/2020,57,34,39,23,14
15/03/2020,98,29,34,19,12
22/03/2020,100,28,33,19,12
29/03/2020,97,30,35,19,13
5/04/2020,100,32,38,21,13
12/04/2020,94,34,41,22,14
19/04/2020,98,32,41,21,15
26/04/2020,86,33,41,20,15
3/05/2020,86,31,41,22,15
10/05/2020,83,33,40,22,15
17/05/2020,66,33,40,21,15
24/05/2020,57,32,40,20,15
31/05/2020,65,33,41,21,14
7/06/2020,69,33,41,20,15
14/06/2020,61,33,40,21,15
21/06/2020,61,34,41,20,14
28/06/2020,59,35,38,20,14
5/07/2020,55,35,39,19,14
12/07/2020,58,36,40,21,15
19/07/2020,55,36,40,21,14
26/07/2020,43,34,39,20,14
2/08/2020,44,34,37,20,13
9/08/2020,44,35,38,21,13
16/08/2020,41,36,40,22,14
23/08/2020,49,39,40,21,14
30/08/2020,62,37,40,21,14
6/09/2020,74,38,42,24,14
13/09/2020,80,39,39,21,14
